"","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","alphcharge"
"1064","SEX OFFENDER FAIL TO REGISTER, SUBSQ.OFF. LEVEL 2 OR 3 c6 §178H(a)",0,20,"SEX OFFENDER FAIL TO REGISTER, SUBSQ.OFF. LEVEL 2 OR 3","6","178H(a)","","SEXOFFENDERFAILTOREGISTERSUBSQOFFLEVEL2OR3c6178Ha"
"1065","SEX OFFENDER FAIL TO REGISTER, LEVEL 2 or 3 c6 §178H(a)(1)",0,233,"SEX OFFENDER FAIL TO REGISTER, LEVEL 2 OR 3","6","178H(a)(1)","Yes","SEXOFFENDERFAILTOREGISTERLEVEL2or3c6178Ha1"
"1066","SEX OFFENDER FAIL TO REGISTER c6 §178H(a)-(c)",101,1074,"SEX OFFENDER FAIL TO REGISTER","6","178H(a)-(c)","","SEXOFFENDERFAILTOREGISTERc6178Hac"
"1067","SEX OFFENDER FAIL TO REGISTER, HOMELESS, 2ND OFF. c6 §178H(c)",0,50,"SEX OFFENDER FAIL TO REGISTER, HOMELESS, 2ND OFF.","6","178H(c)","","SEXOFFENDERFAILTOREGISTERHOMELESS2NDOFFc6178Hc"
"1068","SEX OFFENDER FAIL TO REGISTER, HOMELESS, 3RD OFF. c6 §178H(c)",0,49,"SEX OFFENDER FAIL TO REGISTER, HOMELESS, 3RD OFF.","6","178H(c)","","SEXOFFENDERFAILTOREGISTERHOMELESS3RDOFFc6178Hc"
"1069","SEX OFFENDER INFO, AGENCY FAIL PROVIDE c6 §178K(3)",0,1,"SEX OFFENDER INFO, AGENCY FAIL PROVIDE","6","178K(3)","","SEXOFFENDERINFOAGENCYFAILPROVIDEc6178K3"
"1070","SEX OFFENDER REGISTRY INFO, MISUSE c6 §178N",2,0,"SEX OFFENDER REGISTRY INFO, MISUSE","6","178N","Yes","SEXOFFENDERREGISTRYINFOMISUSEc6178N"
"1071","Failure to Register,Sex Offender,2nd or Sub,c6,s178H(a)(2)-SUBSEQUENT",1,0,"FAILURE TO REGISTER,SEX OFFENDER,2ND OR SUB,C6,S178H(A)(2)-SUBSEQUENT","6,","178H(a)(2)-SUBSEQUENT","","FailuretoRegisterSexOffender2ndorSubc6s178Ha2SUBSEQUENT"
"1072","TAX, ATTEMPT TO EVADE c62C §73(a)",1,1,"TAX, ATTEMPT TO EVADE","62C","73(a)","","TAXATTEMPTTOEVADEc62C73a"
"1073","TAX, FAIL COLLECT OR PAY OVER c62C §73(b)",0,80,"TAX, FAIL COLLECT OR PAY OVER","62C","73(b)","","TAXFAILCOLLECTORPAYOVERc62C73b"
"1074","TAX RETURN, FAIL FILE c62C §73(c)",0,13,"TAX RETURN, FAIL FILE","62C","73(c)","","TAXRETURNFAILFILEc62C73c"
"1075","TAX, EVADE c62C §73(c)",0,1,"TAX, EVADE","62C","73(c)","","TAXEVADEc62C73c"
"1076","TAX RETURN, FALSE VERIFIED c62C §73(f)(1)",0,11,"TAX RETURN, FALSE VERIFIED","62C","73(f)(1)","","TAXRETURNFALSEVERIFIEDc62C73f1"
"1077","TAX RETURN, AID FALSE c62C §73(f)(2)",0,2,"TAX RETURN, AID FALSE","62C","73(f)(2)","","TAXRETURNAIDFALSEc62C73f2"
"1078","TAX DOCUMENT, FALSE SIGNATURE ON c62C §73(f)(3)",0,1,"TAX DOCUMENT, FALSE SIGNATURE ON","62C","73(f)(3)","","TAXDOCUMENTFALSESIGNATUREONc62C73f3"
"1079","SALES TAX CERTIFICATE, FALSE c62C §73(i)",0,3,"SALES TAX CERTIFICATE, FALSE","62C","73(i)","","SALESTAXCERTIFICATEFALSEc62C73i"
"1080","CIGARETTES, SELL WITHOUT LICENSE c64C §10 & §2",0,2,"CIGARETTES, SELL WITHOUT LICENSE","64C","10 & §2","","CIGARETTESSELLWITHOUTLICENSEc64C102"
"1081","CIGARETTES, SELL -12000 UNSTAMPED c64C §34",0,1,"CIGARETTES, SELL -12000 UNSTAMPED","64C","34","","CIGARETTESSELL12000UNSTAMPEDc64C34"
"1082","CIGARETTES, POSSESS -12000 UNSTAMPED c64C §35",1,1,"CIGARETTES, POSSESS -12000 UNSTAMPED","64C","35","","CIGARETTESPOSSESS12000UNSTAMPEDc64C35"
"1083","DRUG DEALER FAIL PAY TAX c64K §9",0,1,"DRUG DEALER FAIL PAY TAX","64K","9","","DRUGDEALERFAILPAYTAXc64K9"
"1084","A&F INQUIRY, DISTURB, OR WITNESS FAIL TESTIFY AT c. 7 s. 11",0,1,"A&F INQUIRY, DISTURB, OR WITNESS FAIL TESTIFY AT","7","11","","AFINQUIRYDISTURBORWITNESSFAILTESTIFYATc7s11"
"1085","MASS PIKE¿NEGLIGENT OPERATION * 700 CMR §7.09(5)(a)",0,49,"MASS PIKE¿NEGLIGENT OPERATION * 700 CMR §7.09(5)(A)","700","7.09(5)(a)","","MASSPIKENEGLIGENTOPERATION700CMR7095a"
"1086","MASS PIKE¿MARKED LANES VIOLATION * 700 CMR §7.09(5)(a)",0,18,"MASS PIKE¿MARKED LANES VIOLATION * 700 CMR §7.09(5)(A)","700","7.09(5)(a)","","MASSPIKEMARKEDLANESVIOLATION700CMR7095a"
"1087","MASS PIKE¿SPEEDING TO ENDANGER * 700 CMR §7.09(6)(b)",0,60,"MASS PIKE¿SPEEDING TO ENDANGER * 700 CMR §7.09(6)(B)","700","7.09(6)(b)","","MASSPIKESPEEDINGTOENDANGER700CMR7096b"
"1088","NATIONAL NETWORK TRAVEL LIMITATION VIOL * 720 CMR §10.02",0,1,"NATIONAL NETWORK TRAVEL LIMITATION VIOL * 720 CMR §10.02","720","10.02","","NATIONALNETWORKTRAVELLIMITATIONVIOL720CMR1002"
"1089","STATE HWAY¿HAZARDOUS MAT TRANSP VIOL * 720 CMR §8.03 & §8.04",0,1,"STATE HWAY¿HAZARDOUS MAT TRANSP VIOL * 720 CMR §8.03 & §8.04","720","8.03 & §8.04","","STATEHWAYHAZARDOUSMATTRANSPVIOL720CMR803804"
"1090","STATE HWAY¿PARKING * 720 CMR §9.03",0,1,"STATE HWAY¿PARKING * 720 CMR §9.03","720","9.03","","STATEHWAYPARKING720CMR903"
"1091","STATE HWAYWRONG WAY * 720 CMR §9.05",13,0,"STATE HWAYWRONG WAY * 720 CMR §9.05","720","9.05","","STATEHWAYWRONGWAY720CMR905"
"1092","STATE HWAY WRONG WAY * 720 CMR §9.05",0,196,"STATE HWAY WRONG WAY * 720 CMR §9.05","720","9.05","","STATEHWAYWRONGWAY720CMR905"
"1093","STATE HWAYTRAFFIC VIOLATION * 720 CMR §9.06",179,0,"STATE HWAYTRAFFIC VIOLATION * 720 CMR §9.06","720","9.06","","STATEHWAYTRAFFICVIOLATION720CMR906"
"1094","STATE HWAYSIGNAL/SIGN/MARKINGS VIOL * 720 CMR §9.06",25,0,"STATE HWAYSIGNAL/SIGN/MARKINGS VIOL * 720 CMR §9.06","720","9.06","","STATEHWAYSIGNALSIGNMARKINGSVIOL720CMR906"
"1095","STATE HWAY¿TRAFFIC VIOLATION * 720 CMR §9.06",0,305,"STATE HWAY¿TRAFFIC VIOLATION * 720 CMR §9.06","720","9.06","","STATEHWAYTRAFFICVIOLATION720CMR906"
"1096","STATE HWAY¿SIGNAL/SIGN/MARKINGS VIOL * 720 CMR §9.06",0,134,"STATE HWAY¿SIGNAL/SIGN/MARKINGS VIOL * 720 CMR §9.06","720","9.06","","STATEHWAYSIGNALSIGNMARKINGSVIOL720CMR906"
"1097","STATE HWAYTRAFFIC VIOLATION * 720 CMR §9.07",9,0,"STATE HWAYTRAFFIC VIOLATION * 720 CMR §9.07","720","9.07","","STATEHWAYTRAFFICVIOLATION720CMR907"
"1098","STATE HWAY¿TRAFFIC VIOLATION * 720 CMR §9.07",0,10,"STATE HWAY¿TRAFFIC VIOLATION * 720 CMR §9.07","720","9.07","","STATEHWAYTRAFFICVIOLATION720CMR907"
"1099","STATE HWAYRAMP, BACK ON/OFF * 720 CMR §9.08",1,0,"STATE HWAYRAMP, BACK ON/OFF * 720 CMR §9.08","720","9.08","","STATEHWAYRAMPBACKONOFF720CMR908"
"1100","STATE HWAY¿RAMP, BACK ON/OFF * 720 CMR §9.08",0,3,"STATE HWAY¿RAMP, BACK ON/OFF * 720 CMR §9.08","720","9.08","","STATEHWAYRAMPBACKONOFF720CMR908"
"1101","STATE HWAYLEFT LANE RESTRICTION VIOL * 720 CMR §9.08(5)(b)",1,0,"STATE HWAYLEFT LANE RESTRICTION VIOL * 720 CMR §9.08(5)(B)","720","9.08(5)(b)","","STATEHWAYLEFTLANERESTRICTIONVIOL720CMR9085b"
"1102","STATE HWAY¿LEFT LANE RESTRICTION VIOL * 720 CMR §9.08(5)(b)",0,1,"STATE HWAY¿LEFT LANE RESTRICTION VIOL * 720 CMR §9.08(5)(B)","720","9.08(5)(b)","","STATEHWAYLEFTLANERESTRICTIONVIOL720CMR9085b"
"1103","STATE HWAYPEDESTRIAN VIOLATION 720 CMR §9.09",1,0,"STATE HWAYPEDESTRIAN VIOLATION 720 CMR §9.09","720","9.09","","STATEHWAYPEDESTRIANVIOLATION720CMR909"
"1104","STATE HWAY¿PEDESTRIAN VIOLATION 720 CMR §9.09",0,6,"STATE HWAY¿PEDESTRIAN VIOLATION 720 CMR §9.09","720","9.09","","STATEHWAYPEDESTRIANVIOLATION720CMR909"
"1105","MASSACHUSETTS STATE COLLEGE BUILDING AUTHORITY, FINANCIAL INTEREST VIOLATION c. 73 App. s. 1-2",0,1,"MASSACHUSETTS STATE COLLEGE BUILDING AUTHORITY, FINANCIAL INTEREST VIOLATION","73","1-2","","MASSACHUSETTSSTATECOLLEGEBUILDINGAUTHORITYFINANCIALINTERESTVIOLATIONc73Apps12"
"1106","MASS PIKE TANDEM¿LENGTH VIOLATION * 730 CMR §4.01",0,8,"MASS PIKE TANDEM¿LENGTH VIOLATION * 730 CMR §4.01","730","4.01","","MASSPIKETANDEMLENGTHVIOLATION730CMR401"
"1107","MASS PIKE TANDEM¿WEIGHT VIOLATION * 730 CMR §4.02",0,4,"MASS PIKE TANDEM¿WEIGHT VIOLATION * 730 CMR §4.02","730","4.02","","MASSPIKETANDEMWEIGHTVIOLATION730CMR402"
"1108","MASS PIKE TANDEM¿BRAKE VIOLATION * 730 CMR §4.06",0,2,"MASS PIKE TANDEM¿BRAKE VIOLATION * 730 CMR §4.06","730","4.06","","MASSPIKETANDEMBRAKEVIOLATION730CMR406"
"1109","MASS PIKE TANDEM¿DISPLAY LENGTH/WT * 730 CMR §4.11",0,1,"MASS PIKE TANDEM¿DISPLAY LENGTH/WT * 730 CMR §4.11","730","4.11","","MASSPIKETANDEMDISPLAYLENGTHWT730CMR411"
"1110","MASS PIKE TANDEM¿COUPLING VIOLATION * 730 CMR §4.12",0,1,"MASS PIKE TANDEM¿COUPLING VIOLATION * 730 CMR §4.12","730","4.12","","MASSPIKETANDEMCOUPLINGVIOLATION730CMR412"
"1111","MASS PIKE TANDEM¿EQUIPMENT INSPECTION * 730 CMR §4.15",0,1,"MASS PIKE TANDEM¿EQUIPMENT INSPECTION * 730 CMR §4.15","730","4.15","","MASSPIKETANDEMEQUIPMENTINSPECTION730CMR415"
"1112","MASS PIKE TANDEM¿SPEEDING * 730 CMR §4.18",0,4,"MASS PIKE TANDEM¿SPEEDING * 730 CMR §4.18","730","4.18","","MASSPIKETANDEMSPEEDING730CMR418"
"1113","MASS PIKE TANDEM¿PASSING VIOLATION * 730 CMR §4.20",0,2,"MASS PIKE TANDEM¿PASSING VIOLATION * 730 CMR §4.20","730","4.20","","MASSPIKETANDEMPASSINGVIOLATION730CMR420"
"1114","MASS PIKE TANDEM¿MAKEUP/BREAKUP VIOL * 730 CMR §4.28",0,1,"MASS PIKE TANDEM¿MAKEUP/BREAKUP VIOL * 730 CMR §4.28","730","4.28","","MASSPIKETANDEMMAKEUPBREAKUPVIOL730CMR428"
"1115","MASS PIKE¿TOLL, EVADE * 730 CMR §5.03",0,1,"MASS PIKE¿TOLL, EVADE * 730 CMR §5.03","730","5.03","","MASSPIKETOLLEVADE730CMR503"
"1116","MASS PIKE¿SPEEDING * 730 CMR §5.04",0,174,"MASS PIKE¿SPEEDING * 730 CMR §5.04","730","5.04","","MASSPIKESPEEDING730CMR504"
"1117","MASS PIKE¿SPEEDING OVER POSTED LIMIT * 730 CMR §5.04",0,9,"MASS PIKE¿SPEEDING OVER POSTED LIMIT * 730 CMR §5.04","730","5.04","","MASSPIKESPEEDINGOVERPOSTEDLIMIT730CMR504"
"1118","MASS PIKE¿$100 VIOLATION * 730 CMR §5.04",0,2,"MASS PIKE¿$100 VIOLATION * 730 CMR §5.04","730","5.04","","MASSPIKE100VIOLATION730CMR504"
"1119","MASS PIKE¿$500 VIOLATION * 730 CMR §5.04",0,1,"MASS PIKE¿$500 VIOLATION * 730 CMR §5.04","730","5.04","","MASSPIKE500VIOLATION730CMR504"
"1120","MASS PIKE¿WEIGHT VIOLATION * 730 CMR §5.04",0,1,"MASS PIKE¿WEIGHT VIOLATION * 730 CMR §5.04","730","5.04","","MASSPIKEWEIGHTVIOLATION730CMR504"
"1121","MASS PIKE¿$15 VIOLATION * 730 CMR §5.04",0,1,"MASS PIKE¿$15 VIOLATION * 730 CMR §5.04","730","5.04","","MASSPIKE15VIOLATION730CMR504"
"1122","MASS PIKE¿SIGNAL/SIGN/MARKINGS, UNAUTH 730 CMR §5.04(1)(b)",0,11,"MASS PIKE¿SIGNAL/SIGN/MARKINGS, UNAUTH 730 CMR §5.04(1)(B)","730","5.04(1)(b)","","MASSPIKESIGNALSIGNMARKINGSUNAUTH730CMR5041b"
"1123","MASS PIKE¿SIGNAL/SIGN/MARKINGS,VANDALIZE 730 CMR §5.04(1)(d)",0,2,"MASS PIKE¿SIGNAL/SIGN/MARKINGS,VANDALIZE 730 CMR §5.04(1)(D)","730","5.04(1)(d)","","MASSPIKESIGNALSIGNMARKINGSVANDALIZE730CMR5041d"
"1124","MASS PIKE¿PEDESTRIAN 730 CMR §5.04(4)(b)",0,1,"MASS PIKE¿PEDESTRIAN 730 CMR §5.04(4)(B)","730","5.04(4)(b)","","MASSPIKEPEDESTRIAN730CMR5044b"
"1125","MASS PIKE¿SOLICITING 730 CMR §5.04(4)(g)",0,1,"MASS PIKE¿SOLICITING 730 CMR §5.04(4)(G)","730","5.04(4)(g)","","MASSPIKESOLICITING730CMR5044g"
"1126","MASS PIKE¿TOLL, FAIL PAY * 730 CMR §7.03(3)",0,1,"MASS PIKE¿TOLL, FAIL PAY * 730 CMR §7.03(3)","730","7.03(3)","","MASSPIKETOLLFAILPAY730CMR7033"
"1127","MASS PIKE¿TOLL, EVADE * 730 CMR §7.03(4)",0,2,"MASS PIKE¿TOLL, EVADE * 730 CMR §7.03(4)","730","7.03(4)","","MASSPIKETOLLEVADE730CMR7034"
"1128","MASS PIKE¿ETC SYSTEM/LANE, UNAUTH USE * 730 CMR §7.04(1)",0,1,"MASS PIKE¿ETC SYSTEM/LANE, UNAUTH USE * 730 CMR §7.04(1)","730","7.04(1)","","MASSPIKEETCSYSTEMLANEUNAUTHUSE730CMR7041"
"1129","MASS PIKE¿WRONG WAY * 730 CMR §7.05(1)",0,11,"MASS PIKE¿WRONG WAY * 730 CMR §7.05(1)","730","7.05(1)","","MASSPIKEWRONGWAY730CMR7051"
"1130","MASS PIKE¿WRONG WAY IN TUNNEL * 730 CMR §7.05(2)",0,5,"MASS PIKE¿WRONG WAY IN TUNNEL * 730 CMR §7.05(2)","730","7.05(2)","","MASSPIKEWRONGWAYINTUNNEL730CMR7052"
"1131","MASS PIKE¿ENTER/EXIT, UNAUTHORIZED * 730 CMR §7.05(3)",0,1,"MASS PIKE¿ENTER/EXIT, UNAUTHORIZED * 730 CMR §7.05(3)","730","7.05(3)","","MASSPIKEENTEREXITUNAUTHORIZED730CMR7053"
"1132","MASS PIKE¿TIRE VIOLATION * 730 CMR §7.05(5)(b)",0,1,"MASS PIKE¿TIRE VIOLATION * 730 CMR §7.05(5)(B)","730","7.05(5)(b)","","MASSPIKETIREVIOLATION730CMR7055b"
"1133","MASS PIKE¿BRAKES VIOLATION * 730 CMR §7.05(5)(g)",0,2,"MASS PIKE¿BRAKES VIOLATION * 730 CMR §7.05(5)(G)","730","7.05(5)(g)","","MASSPIKEBRAKESVIOLATION730CMR7055g"
"1134","MASS PIKE¿WEIGHT VIOLATION * 730 CMR §7.05(5)(h)",0,1,"MASS PIKE¿WEIGHT VIOLATION * 730 CMR §7.05(5)(H)","730","7.05(5)(h)","","MASSPIKEWEIGHTVIOLATION730CMR7055h"
"1135","MASS PIKE¿LOITERING 730 CMR §7.05(8)",0,1,"MASS PIKE¿LOITERING 730 CMR §7.05(8)","730","7.05(8)","","MASSPIKELOITERING730CMR7058"
"1136","MASS PIKE¿COMMERCIAL ACTIVITY 730 CMR §7.05(9)",0,2,"MASS PIKE¿COMMERCIAL ACTIVITY 730 CMR §7.05(9)","730","7.05(9)","","MASSPIKECOMMERCIALACTIVITY730CMR7059"
"1137","MASS PIKE¿SIGN/CIRCULAR, POST/DISTRIBUTE 730 CMR §7.05(9)",0,1,"MASS PIKE¿SIGN/CIRCULAR, POST/DISTRIBUTE 730 CMR §7.05(9)","730","7.05(9)","","MASSPIKESIGNCIRCULARPOSTDISTRIBUTE730CMR7059"
"1138","MASS PIKE¿PILOT CAR VIOLATION * 730 CMR §7.06(4)(d)",0,3,"MASS PIKE¿PILOT CAR VIOLATION * 730 CMR §7.06(4)(D)","730","7.06(4)(d)","","MASSPIKEPILOTCARVIOLATION730CMR7064d"
"1139","MASS PIKE¿HEIGHT, FAIL DISPLAY * 730 CMR §7.06(4)(f)",0,1,"MASS PIKE¿HEIGHT, FAIL DISPLAY * 730 CMR §7.06(4)(F)","730","7.06(4)(f)","","MASSPIKEHEIGHTFAILDISPLAY730CMR7064f"
"1140","MASS PIKE¿HEIGHT CLEARANCE, FAIL CHECK * 730 CMR §7.06(4)(g)",0,2,"MASS PIKE¿HEIGHT CLEARANCE, FAIL CHECK * 730 CMR §7.06(4)(G)","730","7.06(4)(g)","","MASSPIKEHEIGHTCLEARANCEFAILCHECK730CMR7064g"
"1141","MASS PIKE¿SPECIAL FUEL PERMIT, FAIL CARRY * 730 CMR §7.06(6)(e)(2)",0,1,"MASS PIKE¿SPECIAL FUEL PERMIT, FAIL CARRY * 730 CMR §7.06(6)(E)(2)","730","7.06(6)(e)(2)","","MASSPIKESPECIALFUELPERMITFAILCARRY730CMR7066e2"
"1142","MASS PIKE¿TANDEM TOO CLOSE * 730 CMR §7.07(20)",0,11,"MASS PIKE¿TANDEM TOO CLOSE * 730 CMR §7.07(20)","730","7.07(20)","","MASSPIKETANDEMTOOCLOSE730CMR70720"
"1143","MASS PIKE¿TANDEM PASSING VIOLATION * 730 CMR §7.07(22)",0,1,"MASS PIKE¿TANDEM PASSING VIOLATION * 730 CMR §7.07(22)","730","7.07(22)","","MASSPIKETANDEMPASSINGVIOLATION730CMR70722"
"1144","MASS PIKE¿SIGN, FAIL OBEY * 730 CMR §7.08(1)(a)",0,126,"MASS PIKE¿SIGN, FAIL OBEY * 730 CMR §7.08(1)(A)","730","7.08(1)(a)","","MASSPIKESIGNFAILOBEY730CMR7081a"
"1145","MASS PIKE¿SIGN/SIGNAL/MARKING, UNAUTHORIZED 730 CMR §7.08(1)(a)",0,9,"MASS PIKE¿SIGN/SIGNAL/MARKING, UNAUTHORIZED 730 CMR §7.08(1)(A)","730","7.08(1)(a)","","MASSPIKESIGNSIGNALMARKINGUNAUTHORIZED730CMR7081a"
"1146","MASS PIKE¿POLICE ORDERS, FAIL OBEY * 730 CMR §7.08(1)(b)",0,10,"MASS PIKE¿POLICE ORDERS, FAIL OBEY * 730 CMR §7.08(1)(B)","730","7.08(1)(b)","","MASSPIKEPOLICEORDERSFAILOBEY730CMR7081b"
"1147","MASS PIKE¿MEDIAN/EXCLUDED AREA VIOLATION * 730 CMR §7.08(10)(a)",0,3,"MASS PIKE¿MEDIAN/EXCLUDED AREA VIOLATION * 730 CMR §7.08(10)(A)","730","7.08(10)(a)","","MASSPIKEMEDIANEXCLUDEDAREAVIOLATION730CMR70810a"
"1148","MASS PIKE¿CROSS-OVER VIOLATION * 730 CMR §7.08(10)(b)",0,3,"MASS PIKE¿CROSS-OVER VIOLATION * 730 CMR §7.08(10)(B)","730","7.08(10)(b)","","MASSPIKECROSSOVERVIOLATION730CMR70810b"
"1149","MASS PIKE¿RESTRICTED AREA VIOLATION * 730 CMR §7.08(11)(a)",0,9,"MASS PIKE¿RESTRICTED AREA VIOLATION * 730 CMR §7.08(11)(A)","730","7.08(11)(a)","","MASSPIKERESTRICTEDAREAVIOLATION730CMR70811a"
"1150","MASS PIKE¿LEFT LANE RESTRICTION * 730 CMR §7.08(11)(b)",0,6,"MASS PIKE¿LEFT LANE RESTRICTION * 730 CMR §7.08(11)(B)","730","7.08(11)(b)","","MASSPIKELEFTLANERESTRICTION730CMR70811b"
"1151","MASS PIKE¿SPEEDING IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(a)",0,5,"MASS PIKE¿SPEEDING IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(A)","730","7.08(12)(a)","","MASSPIKESPEEDINGINCONSTRUCTIONZONE730CMR70812a"
"1152","MASS PIKE¿EXCLUDED AREA IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(b)",0,4,"MASS PIKE¿EXCLUDED AREA IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(B)","730","7.08(12)(b)","","MASSPIKEEXCLUDEDAREAINCONSTRUCTIONZONE730CMR70812b"
"1153","MASS PIKE¿NEGLIGENT OP IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(c)",0,2,"MASS PIKE¿NEGLIGENT OP IN CONSTRUCTION ZONE * 730 CMR §7.08(12)(C)","730","7.08(12)(c)","","MASSPIKENEGLIGENTOPINCONSTRUCTIONZONE730CMR70812c"
"1154","MASS PIKE¿RIGHT LANE, FAIL KEEP TO * 730 CMR §7.08(13)",0,13,"MASS PIKE¿RIGHT LANE, FAIL KEEP TO * 730 CMR §7.08(13)","730","7.08(13)","","MASSPIKERIGHTLANEFAILKEEPTO730CMR70813"
"1155","MASS PIKE¿PASSING VIOLATION * 730 CMR §7.08(14)",0,13,"MASS PIKE¿PASSING VIOLATION * 730 CMR §7.08(14)","730","7.08(14)","","MASSPIKEPASSINGVIOLATION730CMR70814"
"1156","MASS PIKE¿TOO CLOSE * 730 CMR §7.08(15)",0,87,"MASS PIKE¿TOO CLOSE * 730 CMR §7.08(15)","730","7.08(15)","","MASSPIKETOOCLOSE730CMR70815"
"1157","MASS PIKE¿COASTING VIOLATION * 730 CMR §7.08(16)",0,5,"MASS PIKE¿COASTING VIOLATION * 730 CMR §7.08(16)","730","7.08(16)","","MASSPIKECOASTINGVIOLATION730CMR70816"
"1158","MASS PIKE¿STOP/BACK/U-TURN * 730 CMR §7.08(17)(a)&(b)",0,19,"MASS PIKE¿STOP/BACK/U-TURN * 730 CMR §7.08(17)(A)&(B)","730","7.08(17)(a)&(b)","","MASSPIKESTOPBACKUTURN730CMR70817ab"
"1159","MASS PIKE¿STOP/TURN, FAIL SIGNAL * 730 CMR §7.08(17)(c)",0,26,"MASS PIKE¿STOP/TURN, FAIL SIGNAL * 730 CMR §7.08(17)(C)","730","7.08(17)(c)","","MASSPIKESTOPTURNFAILSIGNAL730CMR70817c"
"1160","MASS PIKE¿HEIGHT WARNING SIGNAL, IGNORE * 730 CMR §7.08(19)",0,2,"MASS PIKE¿HEIGHT WARNING SIGNAL, IGNORE * 730 CMR §7.08(19)","730","7.08(19)","","MASSPIKEHEIGHTWARNINGSIGNALIGNORE730CMR70819"
"1161","MASS PIKE¿TRAFFIC LIGHT, FAIL OBEY * 730 CMR §7.08(2)",0,11,"MASS PIKE¿TRAFFIC LIGHT, FAIL OBEY * 730 CMR §7.08(2)","730","7.08(2)","","MASSPIKETRAFFICLIGHTFAILOBEY730CMR7082"
"1162","MASS PIKE¿NOISE VIOLATION * 730 CMR §7.08(21)",0,1,"MASS PIKE¿NOISE VIOLATION * 730 CMR §7.08(21)","730","7.08(21)","","MASSPIKENOISEVIOLATION730CMR70821"
"1163","MASS PIKE¿HEADLIGHT HIGH BEAM VIOLATION * 730 CMR §7.08(22)",0,1,"MASS PIKE¿HEADLIGHT HIGH BEAM VIOLATION * 730 CMR §7.08(22)","730","7.08(22)","","MASSPIKEHEADLIGHTHIGHBEAMVIOLATION730CMR70822"
"1164","MASS PIKE¿FUEL, INADEQUATE * 730 CMR §7.08(23)",0,51,"MASS PIKE¿FUEL, INADEQUATE * 730 CMR §7.08(23)","730","7.08(23)","","MASSPIKEFUELINADEQUATE730CMR70823"
"1165","MASS PIKE¿INSPECTION STICKER, NO * 730 CMR §7.08(26)",0,28,"MASS PIKE¿INSPECTION STICKER, NO * 730 CMR §7.08(26)","730","7.08(26)","","MASSPIKEINSPECTIONSTICKERNO730CMR70826"
"1166","MASS PIKE¿EQUIPMENT VIOLATON * 730 CMR §7.08(27)",0,24,"MASS PIKE¿EQUIPMENT VIOLATON * 730 CMR §7.08(27)","730","7.08(27)","","MASSPIKEEQUIPMENTVIOLATON730CMR70827"
"1167","MASS PIKE¿IDLING * 730 CMR §7.08(28)",0,2,"MASS PIKE¿IDLING * 730 CMR §7.08(28)","730","7.08(28)","","MASSPIKEIDLING730CMR70828"
"1168","MASS PIKE¿COMMON CARRIER FL STOP FOR POLICE * 730 CMR §7.08(30)",0,1,"MASS PIKE¿COMMON CARRIER FL STOP FOR POLICE * 730 CMR §7.08(30)","730","7.08(30)","","MASSPIKECOMMONCARRIERFLSTOPFORPOLICE730CMR70830"
"1169","MASS PIKE¿NEGLIGENT OPERATION * 730 CMR §7.08(5)(a)",0,25,"MASS PIKE¿NEGLIGENT OPERATION * 730 CMR §7.08(5)(A)","730","7.08(5)(a)","","MASSPIKENEGLIGENTOPERATION730CMR7085a"
"1170","MASS PIKE¿LOADING, NEGLIGENT * 730 CMR §7.08(5)(b)",0,1,"MASS PIKE¿LOADING, NEGLIGENT * 730 CMR §7.08(5)(B)","730","7.08(5)(b)","","MASSPIKELOADINGNEGLIGENT730CMR7085b"
"1171","MASS PIKE¿SPEEDING * 730 CMR §7.08(6)(a)",0,193,"MASS PIKE¿SPEEDING * 730 CMR §7.08(6)(A)","730","7.08(6)(a)","","MASSPIKESPEEDING730CMR7086a"
"1172","MASS PIKE¿SPEEDING TO ENDANGER * 730 CMR §7.08(6)(b)",0,6,"MASS PIKE¿SPEEDING TO ENDANGER * 730 CMR §7.08(6)(B)","730","7.08(6)(b)","","MASSPIKESPEEDINGTOENDANGER730CMR7086b"
"1173","MASS PIKE¿SPEEDING OVER POSTED LIMIT * 730 CMR §7.08(6)(c)",0,13,"MASS PIKE¿SPEEDING OVER POSTED LIMIT * 730 CMR §7.08(6)(C)","730","7.08(6)(c)","","MASSPIKESPEEDINGOVERPOSTEDLIMIT730CMR7086c"
"1174","MASS PIKE¿MINIMUM SPEED VIOLATION * 730 CMR §7.08(6)(c)",0,3,"MASS PIKE¿MINIMUM SPEED VIOLATION * 730 CMR §7.08(6)(C)","730","7.08(6)(c)","","MASSPIKEMINIMUMSPEEDVIOLATION730CMR7086c"
"1175","MASS PIKE¿ENTER/EXIT IMPROPERLY * 730 CMR §7.08(7)",0,7,"MASS PIKE¿ENTER/EXIT IMPROPERLY * 730 CMR §7.08(7)","730","7.08(7)","","MASSPIKEENTEREXITIMPROPERLY730CMR7087"
"1176","MASS PIKE¿MARKED LANES VIOLATION * 730 CMR §7.08(8)",0,195,"MASS PIKE¿MARKED LANES VIOLATION * 730 CMR §7.08(8)","730","7.08(8)","","MASSPIKEMARKEDLANESVIOLATION730CMR7088"
