"","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","sex","murder","extra_criteria"
"1035","CONSIGNEE/FACTOR, CONVERSION BY c266 §88",0,1,"CONSIGNEE/FACTOR, CONVERSION BY","266","88","",0,0,NA
"1036","DEGREE, FALSE CLAIM TO HOLD SCHOOL c266 §89",0,2,"DEGREE, FALSE CLAIM TO HOLD SCHOOL","266","89","",0,0,NA
"1037","FINANCIAL STATEMENT, PUBLISH FALSE c266 §92",0,1,"FINANCIAL STATEMENT, PUBLISH FALSE","266","92","",0,0,NA
"1038","BUILDING, VANDALIZE c266 §94",0,1,"BUILDING, VANDALIZE","266","94","",0,0,NA
"1039","HISTORIC MARKER/MONUMENT, VANDALIZE c266 §95",3,0,"HISTORIC MARKER/MONUMENT, VANDALIZE","266","95","",0,0,NA
"1040","STATE BUILDING, VANDALIZE c266 §96",5,15,"STATE BUILDING, VANDALIZE","266","96","",0,0,NA
"1041","CHURCH, VANDALIZE c266 §98",0,1,"CHURCH, VANDALIZE","266","98","Yes",0,0,NA
"1042","PLAYGROUND EQUIPMENT, VANDALIZE c266 §98A",0,1,"PLAYGROUND EQUIPMENT, VANDALIZE","266","98A","",0,0,NA
"1043","LIBRARY MATERIALS, FAIL RETURN c266 §99A",19,0,"LIBRARY MATERIALS, FAIL RETURN","266","99A","",0,0,NA
"1044","EXPLOSION, MALICIOUS c266 §101",0,1,"EXPLOSION, MALICIOUS","266","101","Yes",0,0,NA
"1045","EXPLOSIVES, POSSESS TO INJURE c266 §102",1,10,"EXPLOSIVES, POSSESS TO INJURE","266","102","Yes",0,0,NA
"1046","EXPLOSIVES, THROW/PLACE/EXPLODE c266 §102",0,6,"EXPLOSIVES, THROW/PLACE/EXPLODE","266","102","Yes",0,0,NA
"1047","EXPLOSIVES, THROW/PLACE/EXPLODE c266 §102A",25,0,"EXPLOSIVES, THROW/PLACE/EXPLODE","266","102A","Yes",0,0,NA
"1048","INFERNAL MACHINE, POSSESS c266 §102A",1,4,"INFERNAL MACHINE, POSSESS","266","102A","Yes",0,0,NA
"1049","UNLAWFUL EXPLOSION OF A DESTRUCTIVE OR INCENDIARY DEVICE c266 §102B",9,0,"UNLAWFUL EXPLOSION OF A DESTRUCTIVE OR INCENDIARY DEVICE","266","102B","Yes",0,0,NA
"1050","MOLOTOV COCKTAIL, MAKE/SELL/USE/POSSESS c266 §102B",1,3,"MOLOTOV COCKTAIL, MAKE/SELL/USE/POSSESS","266","102B","Yes",0,0,NA
"1051","NOXIOUS/FILTHY SUBSTANCE, VANDALIZE WITH c266 §103",16,11,"NOXIOUS/FILTHY SUBSTANCE, VANDALIZE WITH","266","103","Yes",0,0,NA
"1052","BUILDING, VANDALIZE c266 §104",4,6,"BUILDING, VANDALIZE","266","104","Yes",0,0,NA
"1053","BRIDGE, INJURE c266 §107",0,1,"BRIDGE, INJURE","266","107","Yes",0,0,NA
"1054","INSURANCE CLAIM, PRESENT FALSE c266 §111A",3,23,"INSURANCE CLAIM, PRESENT FALSE","266","111A","Yes",0,0,NA
"1055","INSURANCE CLAIM, PREPARE FALSE c266 §111A",1,13,"INSURANCE CLAIM, PREPARE FALSE","266","111A","Yes",0,0,NA
"1056","INSURANCE CLAIM, FALSE MOTOR VEH c266 §111B",143,229,"INSURANCE CLAIM, FALSE MOTOR VEH","266","111B","Yes",0,0,NA
"1057","INSURANCE CLAIM, FALSE MOTOR VEH c. 266 s. 111B",0,2,"INSURANCE CLAIM, FALSE MOTOR VEH","266","111B","Yes",0,0,NA
"1058","ANIMAL, KILL/MAIM/POISON c266 §112",2,12,"ANIMAL, KILL/MAIM/POISON","266","112","Yes",0,0,NA
"1059","PLANT MATERIAL, TAKE c266 §113",1,0,"PLANT MATERIAL, TAKE","266","113","Yes",0,0,NA
"1060","TREES, CUT/DESTROY c266 §113",0,2,"TREES, CUT/DESTROY","266","113","Yes",0,0,NA
"1061","GLASS IN BUILDING, BREAK c266 §114",0,7,"GLASS IN BUILDING, BREAK","266","114","Yes",0,0,NA
"1062","FENCE, VANDALIZE c266 §114",0,3,"FENCE, VANDALIZE","266","114","Yes",0,0,NA
"1063","GARDEN/ORCHARD/NURSERY/BOG, LARCENY FROM c266 §115",1,1,"GARDEN/ORCHARD/NURSERY/BOG, LARCENY FROM","266","115","Yes",0,0,NA
"1064","TRESPASS c266 §120",637,8956,"TRESPASS","266","120","Yes",0,0,NA
"1065","TRESPASS c. 266 s. 120",0,9,"TRESPASS","266","120","Yes",0,0,NA
"1066","MOTOR VEH, REMOVE IMPROPERLY c266 §120D",1,0,"MOTOR VEH, REMOVE IMPROPERLY","266","120D","Yes",0,0,NA
"1067","COMPUTER SYSTEM, UNAUTHORIZED ACCESS TO c266 §120F",3,8,"COMPUTER SYSTEM, UNAUTHORIZED ACCESS TO","266","120F","Yes",0,0,NA
"1068","TRESPASS WITH FIREARM c266 §121",0,1,"TRESPASS WITH FIREARM","266","121","Yes",0,0,NA
"1069","TRESPASS WITH MOTOR VEHICLE * c266 §121A",25,14,"TRESPASS WITH MOTOR VEHICLE *","266","121A","Yes",0,0,NA
"1070","TRESPASS WITH NON-MV VEHICLE  c266 §121A",4,0,"TRESPASS WITH NON-MV VEHICLE ","266","121A","",0,0,NA
"1071","TRESPASS WITH NON-MV VEHICLE c266 §121A",0,2,"TRESPASS WITH NON-MV VEHICLE","266","121A","Yes",0,0,NA
"1072","TRESPASS NOTICE, VANDALIZE c266 §122",0,1,"TRESPASS NOTICE, VANDALIZE","266","122","Yes",0,0,NA
"1073","TRESPASS ON STATE/COUNTY PROPERTY c266 §123",4,213,"TRESPASS ON STATE/COUNTY PROPERTY","266","123","Yes",0,0,NA
"1074","DEFACE PROPERTY c266 §126",46,46,"DEFACE PROPERTY","266","126","Yes",0,0,NA
"1075","VANDALIZE PROPERTY c266 §126A",567,402,"VANDALIZE PROPERTY","266","126A","Yes",0,0,NA
"1076","DEFACEMENT OF REAL OR PERSONAL PROPERTY c. 266 s. 126A",0,4,"DEFACEMENT OF REAL OR PERSONAL PROPERTY","266","126A","Yes",0,0,NA
"1077","TAGGING PROPERTY c266 §126B",34,161,"TAGGING PROPERTY","266","126B","Yes",0,0,NA
"1078","TAGGING PROPERTY c. 266 s. 126B",0,1,"TAGGING PROPERTY","266","126B","Yes",0,0,NA
"1079","DESTRUCTION OF PROPERTY +$250, MALICIOUS c266 §127",391,4431,"DESTRUCTION OF PROPERTY +$250, MALICIOUS","266","127","Yes",0,0,NA
"1080","DESTRUCTION OF PROPERTY -$250, MALICIOUS c266 §127",350,817,"DESTRUCTION OF PROPERTY -$250, MALICIOUS","266","127","Yes",0,0,NA
"1081","DESTRUCTION OF PROPERTY -$250, WANTON c266 §127",130,98,"DESTRUCTION OF PROPERTY -$250, WANTON","266","127","Yes",0,0,NA
"1082","DESTRUCTION OF PROPERTY +$250, WANTON c266 §127",120,389,"DESTRUCTION OF PROPERTY +$250, WANTON","266","127","Yes",0,0,NA
"1083","DESTRUCTION OF PROPERTY -$1200, MALICIOUS c266 §127",46,303,"DESTRUCTION OF PROPERTY -$1200, MALICIOUS","266","127","Yes",0,0,NA
"1084","DESTRUCTION OF PROPERTY -$1200, WANTON c266 §127",10,37,"DESTRUCTION OF PROPERTY -$1200, WANTON","266","127","Yes",0,0,NA
"1085","DESTRUCTION OF PROPERTY +$1200, MALICIOUS - HABITUAL c266 §127",2,0,"DESTRUCTION OF PROPERTY +$1200, MALICIOUS - HABITUAL","266","127","Yes",0,0,NA
"1086","DESTRUCTION OF PROPERTY +$1200, MALICIOUS c266 §127",0,180,"DESTRUCTION OF PROPERTY +$1200, MALICIOUS","266","127","Yes",0,0,NA
"1087","DESTRUCTION OF PROPERTY +$1200, WANTON c266 §127",0,17,"DESTRUCTION OF PROPERTY +$1200, WANTON","266","127","Yes",0,0,NA
"1088","DESTRUCTION OF PROPERTY +$250, WANTON c. 266 s. 127",0,1,"DESTRUCTION OF PROPERTY +$250, WANTON","266","127","Yes",0,0,NA
"1089","DESTRUCTION OF PROPERTY -$250, WANTON OR MALICIOUS c. 266 s. 127",0,1,"DESTRUCTION OF PROPERTY -$250, WANTON OR MALICIOUS","266","127","Yes",0,0,NA
"1090","CHURCH/SYNAGOGUE, INJURY OVER $5000 TO c266 §127A",8,5,"CHURCH/SYNAGOGUE, INJURY OVER $5000 TO","266","127A","Yes",0,0,NA
"1091","CHURCH, THREAT TO INJURE c266 §127A",1,0,"CHURCH, THREAT TO INJURE","266","127A","Yes",0,0,NA
"1092","CHURCH/SYNAGOGUE, INJURY UNDER $5000 TO c266 §127A",1,3,"CHURCH/SYNAGOGUE, INJURY UNDER $5000 TO","266","127A","Yes",0,0,NA
"1093","PRISONER VANDALIZE PRISON PROPERTY c266 §129",0,15,"PRISONER VANDALIZE PRISON PROPERTY","266","129","Yes",0,0,NA
"1094","PRISONER VANDALIZE JAIL/HC PROPERTY c266 §130",4,29,"PRISONER VANDALIZE JAIL/HC PROPERTY","266","130","Yes",0,0,NA
"1095","MOTOR VEH VIN, REMOVE/ALTER c266 §139(a)",1,11,"MOTOR VEH VIN, REMOVE/ALTER","266","139(a)","Yes",0,0,NA
"1096","MOTOR VEH WITH DEFACED VIN, POSSESS/RECV c266 §139(c)",1,5,"MOTOR VEH WITH DEFACED VIN, POSSESS/RECV","266","139(c)","Yes",0,0,NA
"1097","NUMBER PLATE, TAKE OR ATTACH c266 §139(e)",0,30,"NUMBER PLATE, TAKE OR ATTACH","266","139(e)","Yes",0,0,NA
"1098","MACHINERY ID NO., REMOVE/ALTER c266 §139A",1,1,"MACHINERY ID NO., REMOVE/ALTER","266","139A","Yes",0,0,NA
"1099","RECORDING, UNAUTHORIZED REPRODUCTION OF c266 §143A",0,12,"RECORDING, UNAUTHORIZED REPRODUCTION OF","266","143A","Yes",0,0,NA
"1100","RECORDING W/OUT MFR NAME, MFR/SELL/RENT c266 §143C",0,9,"RECORDING W/OUT MFR NAME, MFR/SELL/RENT","266","143C","Yes",0,0,NA
"1101","DUMPSTER, USE OF ANOTHER'S COMMERCIAL c266 §146",1,1,"DUMPSTER, USE OF ANOTHER'S COMMERCIAL","266","146","Yes",0,0,NA
"1102","LARCENY OVER $250 c266 §30(1)",1468,5573,"LARCENY OVER $250","266","30(1)","Yes",0,0,NA
"1103","LARCENY UNDER $250 c266 §30(1)",1129,1859,"LARCENY UNDER $250","266","30(1)","Yes",0,0,NA
"1104","LARCENY UNDER $1200 c266 §30(1)",134,269,"LARCENY UNDER $1200","266","30(1)","Yes",0,0,NA
"1105","FIREARM, LARCENY OF c266 §30(1)",45,36,"FIREARM, LARCENY OF","266","30(1)","Yes",0,0,NA
"1106","LARCENY OVER $1200 c266 §30(1)",41,183,"LARCENY OVER $1200","266","30(1)","Yes",0,0,NA
"1107","LARCENY OVER $250 BY SINGLE SCHEME c266 §30(1)",27,773,"LARCENY OVER $250 BY SINGLE SCHEME","266","30(1)","Yes",0,0,NA
"1108","LARCENY OVER $1200 BY SINGLE SCHEME c266 §30(1)",8,51,"LARCENY OVER $1200 BY SINGLE SCHEME","266","30(1)","Yes",0,0,NA
"1109","LARCENY UNDER $1200 BY SINGLE SCHEME c266 §30(1)",0,13,"LARCENY UNDER $1200 BY SINGLE SCHEME","266","30(1)","Yes",0,0,NA
"1110","COMMON CARRIER, LARCENY FROM c266 §30(1)",0,1,"COMMON CARRIER, LARCENY FROM","266","30(1)","Yes",0,0,NA
"1111","TRADE SECRET, LARCENY OF c266 §30(4)",0,1,"TRADE SECRET, LARCENY OF","266","30(4)","",0,0,NA
"1112","LARCENY OVER $250 FROM +60/DISABLED c266 §30(5)",100,91,"LARCENY OVER $250 FROM +60/DISABLED","266","30(5)","No",0,0,NA
"1113","LARCENY UNDER $250 FROM +60/DISABLED c266 §30(5)",59,27,"LARCENY UNDER $250 FROM +60/DISABLED","266","30(5)","No",0,0,NA
"1114","FILING FALSE DOCUMENT WITH REGISTRAR OF DEEDS c266 §35/A(b)4",0,2,"FILING FALSE DOCUMENT WITH REGISTRAR OF DEEDS","266","35/A(b)4","",0,0,NA
"1115","COUNTERFEIT MARK, DISTRIBUTE c266 §147(b)(1)",8,15,"COUNTERFEIT MARK, DISTRIBUTE","266","147(b)(1)","Yes",0,0,NA
"1116","COUNTERFEIT MARK, DISTRIB 101-999/$1001-$9999 c266 §147(b)(2)",1,5,"COUNTERFEIT MARK, DISTRIB 101-999/$1001-$9999","266","147(b)(2)","Yes",0,0,NA
"1117","COUNTERFEIT MARK, DISTRIBUTE, 2ND OFF. c266 §147(b)(2)",0,1,"COUNTERFEIT MARK, DISTRIBUTE, 2ND OFF.","266","147(b)(2)","Yes",0,0,NA
"1118","COUNTERFEIT MARK, DISTRIB 1000+/$10000+ c266 §147(b)(3)",0,1,"COUNTERFEIT MARK, DISTRIB 1000+/$10000+","266","147(b)(3)","Yes",0,0,NA
"1119","IDENTITY FRAUD, POSSESS TOOLS W/INTENT c266 §37Ec1/2",0,2,"IDENTITY FRAUD, POSSESS TOOLS W/INTENT","266","37Ec1/2","",0,0,NA
"1120","LARCENY UNDER $250 BY SINGLE SCHEME c266 §30 & §30(1)",25,82,"LARCENY UNDER $250 BY SINGLE SCHEME","266","30 & §30(1)","",0,0,NA
"1121","LARCENY UNDER $1200 BY SINGLE SCHEME c266 §30 & §30(1)",8,0,"LARCENY UNDER $1200 BY SINGLE SCHEME","266","30 & §30(1)","",0,0,NA
"1122","LARCENY OVER $250 BY BOAT CAPTAIN  c266 §32 & §30(1)",1,0,"LARCENY OVER $250 BY BOAT CAPTAIN ","266","32 & §30(1)","",0,0,NA
"1123","LARCENY OVER $250 BY BOAT CAPTAIN c266 §32 & §30(1)",0,1,"LARCENY OVER $250 BY BOAT CAPTAIN","266","32 & §30(1)","",0,0,NA
"1124","LARCENY OVER $1200 BY FALSE PRETENSE c266 §34 & 30(1)",1,0,"LARCENY OVER $1200 BY FALSE PRETENSE","266","34 & 30(1)","",0,0,NA
"1125","LARCENY OVER $250 BY FALSE PRETENSE c266 §34 & §30(1)",39,110,"LARCENY OVER $250 BY FALSE PRETENSE","266","34 & §30(1)","",0,0,NA
"1126","LARCENY UNDER $250 BY FALSE PRETENSE c266 §34 & §30(1)",34,45,"LARCENY UNDER $250 BY FALSE PRETENSE","266","34 & §30(1)","",0,0,NA
"1127","LARCENY UNDER $1200 BY FALSE PRETENSE c266 §34 & §30(1)",2,0,"LARCENY UNDER $1200 BY FALSE PRETENSE","266","34 & §30(1)","",0,0,NA
"1128","LARCENY BY CHECK OVER $250 c266 §37 & §30(1)",90,357,"LARCENY BY CHECK OVER $250","266","37 & §30(1)","",0,0,NA
"1129","LARCENY BY CHECK UNDER $250 c266 §37 & §30(1)",60,133,"LARCENY BY CHECK UNDER $250","266","37 & §30(1)","",0,0,NA
"1130","LARCENY BY CHECK OVER $1200 c266 §37 & §30(1)",1,7,"LARCENY BY CHECK OVER $1200","266","37 & §30(1)","",0,0,NA
"1131","LARCENY BY CHECK UNDER $1200 c266 §37 & §30(1)",0,1,"LARCENY BY CHECK UNDER $1200","266","37 & §30(1)","",0,0,NA
"1132","ASSOCIATION OFFICER EMBEZZLE +$250 c266 §58 & §30(1)",0,6,"ASSOCIATION OFFICER EMBEZZLE +$250","266","58 & §30(1)","",0,0,NA
"1133","FALSE PRETENSE IN COMMER TRANSACTN +$250 c266 §33(1) & §30(1)",0,9,"FALSE PRETENSE IN COMMER TRANSACTN +$250","266","33(1) & §30(1)","",0,0,NA
"1134","FALSE PRETENSE IN COMMER TRANSACTN -$250 c266 §33(1) & §30(1)",0,1,"FALSE PRETENSE IN COMMER TRANSACTN -$250","266","33(1) & §30(1)","",0,0,NA
"1135","CREDIT +$250 BY FALSE FINANCIAL STATEMNT c266 §33(2) & §30(1)",0,1,"CREDIT +$250 BY FALSE FINANCIAL STATEMNT","266","33(2) & §30(1)","",0,0,NA
"1136","ATTEMPTED LARCENY FROM +60/DISABLED c266 §30(5) & c274 §6",1,0,"ATTEMPTED LARCENY FROM +60/DISABLED","266","30(5) & c274 §6","",0,0,NA
"1137","FORGERY OF CHECK c267 §1",364,809,"FORGERY OF CHECK","267","1","Yes",0,0,NA
"1138","FORGERY OF DOCUMENT c267 §1",28,414,"FORGERY OF DOCUMENT","267","1","Yes",0,0,NA
"1139","FORGERY OF PROMISSORY NOTE ENDORSEMENT c267 §1",2,2,"FORGERY OF PROMISSORY NOTE ENDORSEMENT","267","1","Yes",0,0,NA
"1140","FORGERY OF ORDER FOR MONEY c267 §1",2,5,"FORGERY OF ORDER FOR MONEY","267","1","Yes",0,0,NA
"1141","ADMISSION TICKET, FORGE c267 §2",0,6,"ADMISSION TICKET, FORGE","267","2","",0,0,NA
"1142","MONEY LAUNDERING c267A §2",0,174,"MONEY LAUNDERING","267A","2","",0,0,NA
"1143","UTTER FALSE CHECK c267 §5",416,1155,"UTTER FALSE CHECK","267","5","Yes",0,0,NA
"1144","UTTER FALSE WRITING c267 §5",22,342,"UTTER FALSE WRITING","267","5","Yes",0,0,NA
"1145","UTTER PROMISSORY NOTE FALSELY ENDORSED c267 §5",6,4,"UTTER PROMISSORY NOTE FALSELY ENDORSED","267","5","Yes",0,0,NA
"1146","UTTER FALSE ORDER FOR MONEY c267 §5",4,21,"UTTER FALSE ORDER FOR MONEY","267","5","Yes",0,0,NA
"1147","ADMISSION TICKET, UTTER FALSE c267 §6",0,6,"ADMISSION TICKET, UTTER FALSE","267","6","",0,0,NA
"1148","FORGERY OF BANK NOTE c267 §8",0,11,"FORGERY OF BANK NOTE","267","8","",0,0,NA
"1149","UTTER COUNTERFEIT NOTE c267 §10",58,154,"UTTER COUNTERFEIT NOTE","267","10","Yes",0,0,NA
"1150","UTTER FALSE TRAVELLERS CHECK c267 §10",5,0,"UTTER FALSE TRAVELLERS CHECK","267","10","Yes",0,0,NA
"1151","UTTER FALSE TRAVELLER¿S CHECK c267 §10",0,2,"UTTER FALSE TRAVELLER¿S CHECK","267","10","Yes",0,0,NA
"1152","COUNTERFEIT NOTES, COMMON UTTERER OF c267 §11",0,3,"COUNTERFEIT NOTES, COMMON UTTERER OF","267","11","",0,0,NA
"1153","COUNTERFEIT NOTE, POSSESS c267 §12",25,120,"COUNTERFEIT NOTE, POSSESS","267","12","Yes",0,0,NA
"1154","COUNTERFEITING EQUIPMENT, POSSESS c267 §13",0,4,"COUNTERFEITING EQUIPMENT, POSSESS","267","13","",0,0,NA
"1155","COUNTERFEITING EQUIPMENT, MANUFACTURE c267 §13",0,2,"COUNTERFEITING EQUIPMENT, MANUFACTURE","267","13","",0,0,NA
"1156","COUNTERFEIT COIN c267 §17",0,2,"COUNTERFEIT COIN","267","17","",0,0,NA
"1157","MONEY LAUNDERING c267A §2(1)",23,0,"MONEY LAUNDERING","267A","2(1)","",0,0,NA
"1158","NOTES, POSSESS WORTHLESS/FALSE c267 §27",1,0,"NOTES, POSSESS WORTHLESS/FALSE","267","27","",0,0,NA
"1159","UTTER WORTHLESS/FALSE NOTE c267 §28",3,13,"UTTER WORTHLESS/FALSE NOTE","267","28","",0,0,NA
"1160","COUNTERFEIT NOTES, POSSESS 10 c267 §9",0,51,"COUNTERFEIT NOTES, POSSESS 10","267","10 c267 §9","",0,0,NA
"1161","COUNTERFEIT COINS, POSSESS 10 c267 §17",0,1,"COUNTERFEIT COINS, POSSESS 10","267","10 c267 §17","",0,0,NA
"1162","PERJURY c268 §1",7,20,"PERJURY","268","1","Yes",0,0,NA
"1163","FALSE STATEMENT UNDER PENALTY OF PERJURY c268 §1A",65,15,"FALSE STATEMENT UNDER PENALTY OF PERJURY","268","1A","",0,0,NA
"1164","PERJURY, SUBORN c268 §2",36,0,"PERJURY, SUBORN","268","2","Yes",0,0,NA
"1165","PUBLIC EMPLOYEE, BRIBE c268A §2(a)",0,2,"PUBLIC EMPLOYEE, BRIBE","268A","2(a)","",0,0,NA
"1166","PUBLIC EMPLOYEE ACCEPT/SOLICIT BRIBE c268A §2(b)",0,42,"PUBLIC EMPLOYEE ACCEPT/SOLICIT BRIBE","268A","2(b)","",0,0,NA
"1167","PERJURY, ATTEMPT TO SUBORN c268 §3",0,1,"PERJURY, ATTEMPT TO SUBORN","268","3","Yes",0,0,NA
"1168","PUBLIC EMPLOYEE ACCEPT/SOLICIT GIFT c268A §3(b)",0,14,"PUBLIC EMPLOYEE ACCEPT/SOLICIT GIFT","268A","3(b)","",0,0,NA
"1169","PUBLIC EMPLOYEE, FALSE REPORT BY c268 §6A",1,4,"PUBLIC EMPLOYEE, FALSE REPORT BY","268","6A","",0,0,NA
"1170","RETURN BY PROCESS SERVER, FALSE c268 §6B",0,1,"RETURN BY PROCESS SERVER, FALSE","268","6B","",0,0,NA
"1171","PUBLIC EMPLOYEE FIN STATEMENT, FALSE c268B §7",0,1,"PUBLIC EMPLOYEE FIN STATEMENT, FALSE","268B","7","",0,0,NA
"1172","POLICE, MISLEADING c268 §13",0,6,"POLICE, MISLEADING","268","13","",0,0,NA
"1173","JUROR, BRIBE c268 §13",0,4,"JUROR, BRIBE","268","13","",0,0,NA
"1174","JUROR, ATTEMPT TO BRIBE c268 §13",0,2,"JUROR, ATTEMPT TO BRIBE","268","13","",0,0,NA
"1175","PROSECUTOR, MISLEADING c268 §13",0,1,"PROSECUTOR, MISLEADING","268","13","",0,0,NA
"1176","COURT/JUDGE/JUROR, PICKETING c268 §13A",0,1,"COURT/JUDGE/JUROR, PICKETING","268","13A","",0,0,NA
"1177","WITNESS, INTIMIDATE c268 §13B",947,2654,"WITNESS, INTIMIDATE","268","13B","",0,0,NA
"1178","WITNESS/JUROR/POLICE/COURT OFFICIAL, INTIMIDATE AGGRAVATED c268 §13B",2,0,"WITNESS/JUROR/POLICE/COURT OFFICIAL, INTIMIDATE AGGRAVATED","268","13B","",0,0,NA
"1179","WITNESS/JUROR/POLICE/COURT OFF, INTIMIDATE c268 §13B",0,99,"WITNESS/JUROR/POLICE/COURT OFF, INTIMIDATE","268","13B","",0,0,NA
"1180","JUROR, INTIMIDATE c268 §13B",0,5,"JUROR, INTIMIDATE","268","13B","",0,0,NA
"1181","JUROR/WITNESS, INTIMIDATE OR RETALIATE c. 268 s. 13B",0,5,"JUROR/WITNESS, INTIMIDATE OR RETALIATE","268","13B","",0,0,NA
"1182","WITNESS/JUROR/POLICE/COURT OFF, INTIMIDATE AGGRAVATED c268 §13B",0,4,"WITNESS/JUROR/POLICE/COURT OFF, INTIMIDATE AGGRAVATED","268","13B","",0,0,NA
"1183","WITNESS, RETALIATE AGAINST c268 §13B",0,1,"WITNESS, RETALIATE AGAINST","268","13B","",0,0,NA
"1184","WITNESS, INTIMIDATE c268 §13B-HABITUAL",2,0,"WITNESS, INTIMIDATE","268","13B-HABITUAL","",0,0,NA
"1185","COURT PROCEEDINGS, DISRUPT c268 §13C",0,26,"COURT PROCEEDINGS, DISRUPT","268","13C","Yes",0,0,NA
"1186","CRIMINAL PROCEEDING, WITHHOLD EVIDENCE FROM c268 §13E",0,48,"CRIMINAL PROCEEDING, WITHHOLD EVIDENCE FROM","268","13E","",0,0,NA
"1187","Mislead a Police Officer, c268,s13B",38,0,"MISLEAD A POLICE OFFICER,","268,","13B","",0,0,NA
"1188","COUNTY EMPLOYEE, CONFLICT OF INTEREST c. 268A s. 13",0,1,"COUNTY EMPLOYEE, CONFLICT OF INTEREST","268A","13","",0,0,NA
"1189","JUROR, EMPLOYER DISCHARGE c268 §14A",1,0,"JUROR, EMPLOYER DISCHARGE","268","14A","",0,0,NA
"1190","ESCAPE, AID FELON OR ACCUSED FELON TO c268 §15",0,1,"ESCAPE, AID FELON OR ACCUSED FELON TO","268","15","Yes",0,0,NA
"1191","ESCAPE FROM MUNICIPAL LOCKUP c268 §15A",0,7,"ESCAPE FROM MUNICIPAL LOCKUP","268","15A","Yes",0,0,NA
"1192","ESCAPE FROM PENAL INSTITUTION/COURT c268 §16",2,27,"ESCAPE FROM PENAL INSTITUTION/COURT","268","16","Yes",0,0,NA
"1193","ESCAPE FROM PENAL INSTITUTION/COURT, ATT c268 §16",2,7,"ESCAPE FROM PENAL INSTITUTION/COURT, ATT","268","16","Yes",0,0,NA
"1194","ESCAPE FROM PENAL INSTITUTION/COURT/SDP CENTER OR ATTEMPTS c. 268 s. 16",0,1,"ESCAPE FROM PENAL INSTITUTION/COURT/SDP CENTER OR ATTEMPTS","268","16","Yes",0,0,NA
"1195","ESCAPE FROM OFFICER, AID c268 §17",0,11,"ESCAPE FROM OFFICER, AID","268","17","Yes",0,0,NA
"1196","ESCAPE, VOLUNTARILY PERMIT PRISONER TO c268 §18",0,1,"ESCAPE, VOLUNTARILY PERMIT PRISONER TO","268","18","",0,0,NA
"1197","PRISON GUARD HAVE SEX RELATIONS W/PRISONER c268 §21A",0,3,"PRISON GUARD HAVE SEX RELATIONS W/PRISONER","268","21A","",1,0,NA
"1198","POLICE OFFICER, FAIL ASSIST c268 §24",0,17,"POLICE OFFICER, FAIL ASSIST","268","24","Yes",0,0,NA
"1199","POLICE OFFICER, FAIL ASSIST c. 268 s. 24",0,3,"POLICE OFFICER, FAIL ASSIST","268","24","Yes",0,0,NA
"1200","PRISONER, DELIVER DRUGS TO c268 §28",11,33,"PRISONER, DELIVER DRUGS TO","268","28","Yes",0,0,NA
"1201","PRISONER, DELIVER DRUGS TO, HABITUAL c268 §28",1,0,"PRISONER, DELIVER DRUGS TO, HABITUAL","268","28","Yes",0,0,NA
"1202","PRISONER, DELIVER ARTICLE TO c268 §28",0,3,"PRISONER, DELIVER ARTICLE TO","268","28","Yes",0,0,NA
"1203","CORRECTIONAL INSTITUTION, DISTURB c268 §30",9,194,"CORRECTIONAL INSTITUTION, DISTURB","268","30","",0,0,NA
"1204","PRISONER, DELIVER ARTICLE TO c268 §31",0,8,"PRISONER, DELIVER ARTICLE TO","268","31","",0,0,NA
"1205","FIRE CALL BOX, TAMPER WITH c268 §32",16,42,"FIRE CALL BOX, TAMPER WITH","268","32","Yes",0,0,NA
"1206","FALSE ALARM FROM POLICE CALL BOX c268 §32",0,1,"FALSE ALARM FROM POLICE CALL BOX","268","32","Yes",0,0,NA
"1207","FIREFIGHTER, INTERFERE WITH c268 §32A",4,18,"FIREFIGHTER, INTERFERE WITH","268","32A","Yes",0,0,NA
"1208","RESIST ARREST c268 §32B",740,5057,"RESIST ARREST","268","32B","Yes",0,0,NA
"1209","RESIST, ARREST c. 268 s. 32B",0,10,"RESIST, ARREST","268","32B","Yes",0,0,NA
"1210","POLICE OFFICER, IMPERSONATE c268 §33",3,36,"POLICE OFFICER, IMPERSONATE","268","33","Yes",0,0,NA
"1211","PUBLIC OFFICIAL, IMPERSONATE c268 §33",0,1,"PUBLIC OFFICIAL, IMPERSONATE","268","33","Yes",0,0,NA
"1212","DISGUISE TO OBSTRUCT JUSTICE c268 §34",18,35,"DISGUISE TO OBSTRUCT JUSTICE","268","34","Yes",0,0,NA
"1213","FALSE NAME/SSN, ARRESTEE FURNISH c268 §34A",44,910,"FALSE NAME/SSN, ARRESTEE FURNISH","268","34A","Yes",0,0,NA
"1214","BADGE, USE WITHOUT AUTHORITY c268 §35",0,2,"BADGE, USE WITHOUT AUTHORITY","268","35","",0,0,NA
"1215","MOTOR VEH THEFT, FALSE REPORT OF c268 §39",3,15,"MOTOR VEH THEFT, FALSE REPORT OF","268","39","",0,0,NA
"1216","RIOT, FAIL DISPERSE c269 §2",28,11,"RIOT, FAIL DISPERSE","269","2","Yes",0,0,NA
"1217","RIOT, OFFICIAL FAIL DISPERSE c269 §3",0,1,"RIOT, OFFICIAL FAIL DISPERSE","269","3","",0,0,NA
